SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
675683011,00099M00:02:40.703,0098 23:59:10,,,,,,,3.63,,,,291.89,,1,1,1
675683011.5,00099M00:02:41.190,0098 23:59:10,3.11,,,,301.89,,3.84,,,,291.89,,1,1,1
675683012,00099M00:02:41.676,0098 23:59:10,3.17,,,,306.90,,3.63,,,,291.89,,1,1,1
675683012.5,00099M00:02:42.163,0098 23:59:11,3.22,,,,291.89,,4.05,,,,286.89,,1,1,1
675683013,00099M00:02:42.649,0098 23:59:11,3.17,,,,291.89,,3.79,,,,286.89,,1,1,1
675683013.5,00099M00:02:43.136,0098 23:59:12,3.73,,,,301.89,,4.20,,,,291.89,,1,1,1
675683014,00099M00:02:43.623,0098 23:59:12,4.32,,,,296.89,,5.41,,,,286.89,,1,1,1
675683014.5,00099M00:02:44.109,0098 23:59:13,4.16,,,,296.89,,5.31,,,,296.89,,1,1,1
675683015,00099M00:02:44.596,0098 23:59:13,4.06,,,,301.89,,4.89,,,,291.89,,1,1,1
675683015.5,00099M00:02:45.083,0098 23:59:14,4.32,,,,291.89,,5.57,,,,286.89,,1,1,1
675683016,00099M00:02:45.569,0098 23:59:14,4.16,,,,291.89,,4.42,,,,291.89,,1,1,1
675683016.5,00099M00:02:46.056,0098 23:59:15,4.90,,,,296.89,,6.30,,,,281.89,,1,1,1
675683017,00099M00:02:46.542,0098 23:59:15,4.17,,,,296.89,,5.89,,,,286.89,,1,1,1
675683017.5,00099M00:02:47.029,0098 23:59:16,4.53,,,,306.90,,4.95,,,,291.89,,1,1,1
675683018,00099M00:02:47.516,0098 23:59:16,4.79,,,,301.89,,5.47,,,,291.89,,1,1,1
675683018.5,00099M00:02:48.002,0098 23:59:17,4.74,,,,301.89,,5.53,,,,291.89,,1,1,1
675683019,00099M00:02:48.489,0098 23:59:17,4.70,,,,301.89,,5.59,,,,291.89,,1,1,1
675683019.5,00099M00:02:48.976,0098 23:59:18,4.23,,,,296.89,,5.85,,,,286.89,,1,1,1
675683020,00099M00:02:49.462,0098 23:59:18,3.96,,,,301.89,,4.90,,,,291.89,,1,1,1
675683020.5,00099M00:02:49.949,0098 23:59:19,4.12,,,,306.90,,4.69,,,,291.89,,1,1,1
675683021,00099M00:02:50.435,0098 23:59:19,3.44,,,,306.90,,4.96,,,,291.89,,1,1,1
675683021.5,00099M00:02:50.922,0098 23:59:20,3.55,,,,301.89,,4.48,,,,291.89,,1,1,1
675683022,00099M00:02:51.409,0098 23:59:20,3.86,,,,306.90,,5.06,,,,291.89,,1,1,1
675683022.5,00099M00:02:51.895,0098 23:59:21,3.96,,,,306.90,,5.27,,,,291.89,,1,1,1
675683023,00099M00:02:52.382,0098 23:59:21,3.60,,,,301.89,,4.85,,,,291.89,,1,1,1
675683023.5,00099M00:02:52.869,0098 23:59:22,3.12,,,,296.89,,4.11,,,,291.89,,1,1,1
675683024,00099M00:02:53.355,0098 23:59:22,3.22,,,,296.89,,4.32,,,,291.89,,1,1,1
675683024.5,00099M00:02:53.842,0098 23:59:23,3.12,,,,296.89,,4.10,,,,291.89,,1,1,1
675683025,00099M00:02:54.328,0098 23:59:23,3.58,,,,301.89,,4.41,,,,291.89,,1,1,1
675683025.5,00099M00:02:54.815,0098 23:59:24,3.73,,,,311.90,,5.03,,,,291.89,,1,1,1
675683026,00099M00:02:55.302,0098 23:59:24,3.99,,,,306.90,,4.82,,,,291.89,,1,1,1
675683026.5,00099M00:02:55.788,0098 23:59:25,4.30,,,,306.90,,4.56,,,,301.89,,1,1,1
675683027,00099M00:02:56.275,0098 23:59:25,3.85,,,,306.90,,4.58,,,,301.89,,1,1,1
675683027.5,00099M00:02:56.762,0098 23:59:26,3.74,,,,296.89,,4.88,,,,291.89,,1,1,1
675683028,00099M00:02:57.248,0098 23:59:26,4.00,,,,301.89,,4.57,,,,291.89,,1,1,1
675683028.5,00099M00:02:57.735,0098 23:59:27,4.78,,,,306.90,,5.40,,,,291.89,,1,1,1
675683029,00099M00:02:58.221,0098 23:59:27,5.31,,,,311.90,,5.93,,,,291.89,,1,1,1
675683029.5,00099M00:02:58.708,0098 23:59:28,4.94,,,,306.90,,6.19,,,,291.89,,1,1,1
675683030,00099M00:02:59.195,0098 23:59:28,3.74,,,,306.90,,5.41,,,,291.89,,1,1,1
675683030.5,00099M00:02:59.681,0098 23:59:29,3.06,,,,291.89,,4.00,,,,286.89,,1,1,1
675683031,00099M00:03:00.168,0098 23:59:29,3.68,,,,291.89,,5.44,,,,281.89,,1,1,1
675683031.5,00099M00:03:00.655,0098 23:59:29,3.57,,,,296.89,,4.14,,,,291.89,,1,1,1
675683032,00099M00:03:01.141,0098 23:59:30,3.57,,,,296.89,,4.04,,,,291.89,,1,1,1
675683032.5,00099M00:03:01.628,0098 23:59:30,3.22,,,,296.89,,3.99,,,,291.89,,1,1,1
675683033,00099M00:03:02.114,0098 23:59:31,3.22,,,,296.89,,3.73,,,,291.89,,1,1,1
675683033.5,00099M00:03:02.601,0098 23:59:31,2.95,,,,306.90,,3.73,,,,296.89,,1,1,1
675683034,00099M00:03:03.088,0098 23:59:32,3.16,,,,306.90,,3.94,,,,291.89,,1,1,1
675683034.5,00099M00:03:03.574,0098 23:59:32,3.47,,,,306.90,,4.14,,,,291.89,,1,1,1
675683035,00099M00:03:04.061,0098 23:59:33,3.78,,,,306.90,,4.25,,,,296.89,,1,1,1
675683035.5,00099M00:03:04.548,0098 23:59:33,3.99,,,,306.90,,4.51,,,,291.89,,1,1,1
675683036,00099M00:03:05.034,0098 23:59:34,3.78,,,,296.89,,4.30,,,,291.89,,1,1,1
675683036.5,00099M00:03:05.521,0098 23:59:34,3.68,,,,306.90,,3.94,,,,291.89,,1,1,1
675683037,00099M00:03:06.007,0098 23:59:35,3.37,,,,306.90,,4.09,,,,291.89,,1,1,1
675683037.5,00099M00:03:06.494,0098 23:59:35,3.73,,,,306.90,,3.99,,,,301.89,,1,1,1
675683038,00099M00:03:06.981,0098 23:59:36,3.32,,,,301.89,,3.63,,,,291.89,,1,1,1
675683038.5,00099M00:03:07.467,0098 23:59:36,3.63,,,,301.89,,4.30,,,,291.89,,1,1,1
675683039,00099M00:03:07.954,0098 23:59:37,3.73,,,,301.89,,4.56,,,,291.89,,1,1,1
675683039.5,00099M00:03:08.441,0098 23:59:37,4.61,,,,301.89,,4.98,,,,291.89,,1,1,1
675683040,00099M00:03:08.927,0098 23:59:38,4.25,,,,306.90,,5.03,,,,291.89,,1,1,1
675683040.5,00099M00:03:09.414,0098 23:59:38,4.41,,,,306.90,,5.39,,,,296.89,,1,1,1
675683041,00099M00:03:09.900,0098 23:59:39,3.99,,,,306.90,,4.98,,,,291.89,,1,1,1
675683041.5,00099M00:03:10.387,0098 23:59:39,4.66,,,,311.90,,4.92,,,,291.89,,1,1,1
675683042,00099M00:03:10.874,0098 23:59:40,4.15,,,,311.90,,5.14,,,,301.89,,1,1,1
675683042.5,00099M00:03:11.360,0098 23:59:40,3.84,,,,301.89,,4.47,,,,291.89,,1,1,1
675683043,00099M00:03:11.847,0098 23:59:41,3.47,,,,301.89,,4.25,,,,291.89,,1,1,1
675683043.5,00099M00:03:12.334,0098 23:59:41,3.47,,,,296.89,,4.09,,,,291.89,,1,1,1
675683044,00099M00:03:12.820,0098 23:59:42,4.56,,,,296.89,,5.54,,,,286.89,,1,1,1
675683044.5,00099M00:03:13.307,0098 23:59:42,4.62,,,,306.90,,4.99,,,,291.89,,1,1,1
675683045,00099M00:03:13.793,0098 23:59:43,4.48,,,,306.90,,5.16,,,,291.89,,1,1,1
675683045.5,00099M00:03:14.280,0098 23:59:43,4.32,,,,306.90,,5.42,,,,291.89,,1,1,1
675683046,00099M00:03:14.767,0098 23:59:44,4.47,,,,306.90,,5.20,,,,291.89,,1,1,1
675683046.5,00099M00:03:15.253,0098 23:59:44,3.89,,,,301.89,,4.88,,,,291.89,,1,1,1
675683047,00099M00:03:15.740,0098 23:59:45,3.38,,,,296.89,,4.41,,,,286.89,,1,1,1
675683047.5,00099M00:03:16.227,0098 23:59:45,3.53,,,,296.89,,4.25,,,,291.89,,1,1,1
675683048,00099M00:03:16.713,0098 23:59:46,3.63,,,,296.89,,4.46,,,,291.89,,1,1,1
675683048.5,00099M00:03:17.200,0098 23:59:46,3.47,,,,296.89,,4.35,,,,291.89,,1,1,1
675683049,00099M00:03:17.687,0098 23:59:47,3.84,,,,296.89,,4.51,,,,291.89,,1,1,1
675683049.5,00099M00:03:18.173,0098 23:59:47,3.68,,,,296.89,,4.56,,,,291.89,,1,1,1
675683050,00099M00:03:18.660,0098 23:59:47,3.62,,,,301.89,,4.40,,,,291.89,,1,1,1
675683050.5,00099M00:03:19.146,0098 23:59:48,3.36,,,,301.89,,4.50,,,,291.89,,1,1,1
675683051,00099M00:03:19.633,0098 23:59:48,4.09,,,,296.89,,5.28,,,,286.89,,1,1,1
675683051.5,00099M00:03:20.120,0098 23:59:49,4.19,,,,301.89,,4.35,,,,291.89,,1,1,1
675683052,00099M00:03:20.606,0098 23:59:49,4.41,,,,306.90,,5.60,,,,296.89,,1,1,1
675683052.5,00099M00:03:21.093,0098 23:59:50,4.20,,,,306.90,,5.55,,,,296.89,,1,1,1
675683053,00099M00:03:21.580,0098 23:59:50,4.47,,,,296.89,,4.67,,,,291.89,,1,1,1
675683053.5,00099M00:03:22.066,0098 23:59:51,3.89,,,,291.89,,5.30,,,,286.89,,1,1,1
675683054,00099M00:03:22.553,0098 23:59:51,3.06,,,,296.89,,3.84,,,,291.89,,1,1,1
675683054.5,00099M00:03:23.039,0098 23:59:52,3.42,,,,306.90,,3.94,,,,296.89,,1,1,1
675683055,00099M00:03:23.526,0098 23:59:52,3.63,,,,301.89,,4.41,,,,291.89,,1,1,1
675683055.5,00099M00:03:24.013,0098 23:59:53,3.68,,,,301.89,,4.46,,,,291.89,,1,1,1
675683056,00099M00:03:24.499,0098 23:59:53,4.09,,,,296.89,,5.02,,,,291.89,,1,1,1
675683056.5,00099M00:03:24.986,0098 23:59:54,3.83,,,,306.90,,4.14,,,,301.89,,1,1,1
675683057,00099M00:03:25.473,0098 23:59:54,3.47,,,,301.89,,4.35,,,,291.89,,1,1,1
675683057.5,00099M00:03:25.959,0098 23:59:55,3.52,,,,301.89,,4.35,,,,291.89,,1,1,1
675683058,00099M00:03:26.446,0098 23:59:55,3.41,,,,306.90,,4.65,,,,291.89,,1,1,1
675683058.5,00099M00:03:26.932,0098 23:59:56,3.51,,,,296.89,,4.49,,,,291.89,,1,1,1
675683059,00099M00:03:27.419,0098 23:59:56,4.44,,,,296.89,,4.72,,,,291.89,,1,1,1
675683059.5,00099M00:03:27.906,0098 23:59:57,5.38,,,,301.89,,6.41,,,,286.89,,1,1,1
675683060,00099M00:03:28.392,0098 23:59:57,5.03,,,,296.89,,6.44,,,,286.89,,1,1,1
675683060.5,00099M00:03:28.879,0098 23:59:58,5.41,,,,296.89,,5.67,,,,291.89,,1,1,1
675683061,00099M00:03:29.366,0098 23:59:58,4.90,,,,301.89,,5.78,,,,291.89,,1,1,1
675683061.5,00099M00:03:29.852,0098 23:59:59,5.48,,,,301.89,,6.52,,,,286.89,,1,1,1
675683062,00099M00:03:30.339,0098 23:59:59,5.37,,,,301.89,,6.73,,,,286.89,,1,1,1
675683062.5,00099M00:03:30.825,0099 00:00:00,5.63,,,,301.89,,7.04,,,,286.89,,1,1,1
675683063,00099M00:03:31.312,0099 00:00:00,5.69,,,,296.89,,6.78,,,,286.89,,1,1,1
675683063.5,00099M00:03:31.799,0099 00:00:01,5.53,,,,296.89,,6.68,,,,286.89,,1,1,1
675683064,00099M00:03:32.285,0099 00:00:01,5.06,,,,296.89,,6.78,,,,286.89,,1,1,1
675683064.5,00099M00:03:32.772,0099 00:00:02,4.80,,,,296.89,,6.26,,,,286.89,,1,1,1
675683065,00099M00:03:33.259,0099 00:00:02,4.64,,,,291.89,,6.78,,,,281.89,,1,1,1
675683065.5,00099M00:03:33.745,0099 00:00:03,4.58,,,,291.89,,6.45,,,,281.89,,1,1,1
675683066,00099M00:03:34.232,0099 00:00:03,4.32,,,,291.89,,6.25,,,,281.89,,1,1,1
675683066.5,00099M00:03:34.718,0099 00:00:04,4.53,,,,286.89,,6.05,,,,281.89,,1,1,1
675683067,00099M00:03:35.205,0099 00:00:04,4.68,,,,286.89,,6.39,,,,281.89,,1,1,1
675683067.5,00099M00:03:35.692,0099 00:00:05,4.95,,,,286.89,,6.30,,,,276.89,,1,1,1
675683068,00099M00:03:36.178,0099 00:00:05,4.43,,,,291.89,,6.20,,,,281.89,,1,1,1
675683068.5,00099M00:03:36.665,0099 00:00:05,4.47,,,,291.89,,5.98,,,,281.89,,1,1,1
675683069,00099M00:03:37.152,0099 00:00:06,4.10,,,,291.89,,6.03,,,,281.89,,1,1,1
675683069.5,00099M00:03:37.638,0099 00:00:06,3.89,,,,286.89,,5.86,,,,281.89,,1,1,1
675683070,00099M00:03:38.125,0099 00:00:07,3.68,,,,286.89,,6.02,,,,276.89,,1,1,1
675683070.5,00099M00:03:38.611,0099 00:00:07,3.94,,,,281.89,,5.91,,,,281.89,,1,1,1
675683071,00099M00:03:39.098,0099 00:00:08,3.58,,,,301.89,,4.56,,,,291.89,,1,1,1
675683071.5,00099M00:03:39.585,0099 00:00:08,3.42,,,,291.89,,5.86,,,,281.89,,1,1,1
675683072,00099M00:03:40.071,0099 00:00:09,3.06,,,,286.89,,3.88,,,,286.89,,1,1,1
675683072.5,00099M00:03:40.558,0099 00:00:09,3.26,,,,281.89,,4.08,,,,291.89,,1,1,1
675683073,00099M00:03:41.045,0099 00:00:10,3.67,,,,276.89,,5.74,,,,271.89,,1,1,1
675683073.5,00099M00:03:41.531,0099 00:00:10,3.56,,,,286.89,,3.51,,,,276.89,,1,1,1
675683074,00099M00:03:42.018,0099 00:00:11,3.36,,,,286.89,,5.37,,,,281.89,,1,1,1
