SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668365998.5,00016M13:54:23.875,0016 13:22:00,120.27,23.80,31.23,-8.13,-0.40,0.00,-0.89,80.81,1.63,,
668365999,00016M13:54:24.362,0016 13:22:00,120.27,23.80,31.23,-8.13,-0.40,0.00,-0.09,73.06,1.47,,
668365999.5,00016M13:54:24.848,0016 13:22:01,120.26,23.80,31.23,-8.14,-0.40,92.36,-0.08,73.06,1.47,,
668366000,00016M13:54:25.335,0016 13:22:01,120.26,23.80,31.23,-8.15,-0.40,92.36,-0.07,73.06,1.47,,
668366000.5,00016M13:54:25.821,0016 13:22:02,120.26,23.80,31.24,-8.16,-0.40,92.36,-0.06,73.05,1.47,,
668366001,00016M13:54:26.308,0016 13:22:02,120.26,23.80,31.24,-8.18,-0.40,92.36,-0.05,73.05,1.46,,
668366001.5,00016M13:54:26.795,0016 13:22:03,120.25,23.81,31.24,-8.19,-0.40,92.36,-0.04,73.04,1.46,,
668366002,00016M13:54:27.281,0016 13:22:03,120.25,23.81,31.25,-8.20,-0.40,92.36,-0.04,73.04,1.46,,
668366002.5,00016M13:54:27.768,0016 13:22:04,120.25,23.81,31.25,-8.21,-0.40,92.36,-0.03,73.04,1.46,,
668366003,00016M13:54:28.255,0016 13:22:04,120.24,23.81,31.26,-8.23,-0.40,92.36,-0.02,73.03,1.46,,
668366003.5,00016M13:54:28.741,0016 13:22:05,120.24,23.81,31.26,-8.24,-0.40,92.36,-0.01,73.03,1.45,,
668366004,00016M13:54:29.228,0016 13:22:05,120.24,23.81,31.26,-8.25,-0.40,92.36,-0.00,73.02,1.45,,
668366004.5,00016M13:54:29.714,0016 13:22:05,120.24,23.82,31.27,-8.26,-0.40,92.36,0.01,73.02,1.45,,
668366005,00016M13:54:30.201,0016 13:22:06,120.23,23.82,31.27,-8.28,-0.40,92.36,0.02,73.02,1.45,,
668366005.5,00016M13:54:30.688,0016 13:22:06,120.23,23.82,31.27,-8.29,-0.40,92.36,0.03,73.01,1.45,,
668366006,00016M13:54:31.174,0016 13:22:07,120.23,23.82,31.28,-8.30,-0.40,92.36,0.03,73.01,1.44,,
668366006.5,00016M13:54:31.661,0016 13:22:07,120.22,23.82,31.28,-8.31,-0.40,92.36,0.04,73.00,1.44,,
668366007,00016M13:54:32.148,0016 13:22:08,120.22,23.82,31.29,-8.32,-0.40,92.36,0.05,73.00,1.44,,
668366007.5,00016M13:54:32.634,0016 13:22:08,120.22,23.83,31.29,-8.34,-0.40,92.36,0.06,73.00,1.44,,
668366008,00016M13:54:33.121,0016 13:22:09,120.22,23.83,31.29,-8.35,-0.40,92.36,0.07,72.99,1.43,,
668366008.5,00016M13:54:33.607,0016 13:22:09,120.21,23.83,31.30,-8.36,-0.40,92.36,0.08,72.99,1.43,,
668366009,00016M13:54:34.094,0016 13:22:10,120.21,23.83,31.30,-8.37,-0.40,92.36,0.09,72.98,1.43,,
668366009.5,00016M13:54:34.581,0016 13:22:10,120.21,23.83,31.30,-8.39,-0.40,92.36,0.09,72.98,1.43,,
668366010,00016M13:54:35.067,0016 13:22:11,120.20,23.83,31.31,-8.40,-0.40,92.36,0.10,72.98,1.43,,
668366010.5,00016M13:54:35.554,0016 13:22:11,120.20,23.84,31.31,-8.41,-0.40,92.36,0.11,72.97,1.42,,
668366011,00016M13:54:36.041,0016 13:22:12,120.20,23.84,31.32,-8.42,-0.40,92.36,0.12,72.97,1.42,,
668366011.5,00016M13:54:36.527,0016 13:22:12,120.20,23.84,31.32,-8.43,-0.40,92.36,0.13,72.96,1.42,,
668366012,00016M13:54:37.014,0016 13:22:13,120.19,23.84,31.32,-8.45,-0.40,92.36,0.14,72.96,1.42,,
668366012.5,00016M13:54:37.500,0016 13:22:13,120.19,23.84,31.33,-8.46,-0.40,92.36,0.15,72.95,1.42,,
668366013,00016M13:54:37.987,0016 13:22:14,120.19,23.84,31.33,-8.47,-0.40,92.36,0.15,72.95,1.41,,
668366013.5,00016M13:54:38.474,0016 13:22:14,120.18,23.85,31.33,-8.48,-0.40,92.36,0.16,72.95,1.41,,
668366014,00016M13:54:38.960,0016 13:22:15,120.18,23.85,31.34,-8.50,-0.40,92.36,0.17,72.94,1.41,,
668366014.5,00016M13:54:39.447,0016 13:22:15,120.18,23.85,31.34,-8.51,-0.40,92.36,0.18,72.94,1.41,,
668366015,00016M13:54:39.934,0016 13:22:16,120.18,23.85,31.35,-8.52,-0.40,92.36,0.19,72.93,1.40,,
668366015.5,00016M13:54:40.420,0016 13:22:16,120.17,23.85,31.35,-8.53,-0.40,92.36,0.20,72.93,1.40,,
668366016,00016M13:54:40.907,0016 13:22:17,120.17,23.85,31.35,-8.55,-0.40,92.36,0.21,72.93,1.40,,
668366016.5,00016M13:54:41.393,0016 13:22:17,120.17,23.86,31.36,-8.56,-0.40,92.36,0.22,72.92,1.40,,
668366017,00016M13:54:41.880,0016 13:22:18,120.16,23.86,31.36,-8.57,-0.40,92.36,0.22,72.92,1.40,,
668366017.5,00016M13:54:42.367,0016 13:22:18,120.16,23.86,31.36,-8.58,-0.40,92.36,0.23,72.91,1.39,,
668366018,00016M13:54:42.853,0016 13:22:19,120.16,23.86,31.37,-8.59,-0.40,92.36,0.24,72.91,1.39,,
668366018.5,00016M13:54:43.340,0016 13:22:19,120.16,23.86,31.37,-8.61,-0.40,92.36,0.25,72.91,1.39,,
668366019,00016M13:54:43.827,0016 13:22:20,120.15,23.86,31.38,-8.62,-0.40,92.36,0.26,72.90,1.39,,
668366019.5,00016M13:54:44.313,0016 13:22:20,120.15,23.87,31.38,-8.63,-0.40,92.36,0.27,72.90,1.39,,
668366020,00016M13:54:44.800,0016 13:22:21,120.15,23.87,31.38,-8.64,-0.40,92.36,0.28,72.89,1.38,,
668366020.5,00016M13:54:45.286,0016 13:22:21,120.14,23.87,31.39,-8.66,-0.40,92.36,0.28,72.89,1.38,,
668366021,00016M13:54:45.773,0016 13:22:22,120.14,23.87,31.39,-8.67,-0.40,92.36,0.29,72.89,1.38,,
668366021.5,00016M13:54:46.260,0016 13:22:22,120.14,23.87,31.39,-8.68,-0.40,92.36,0.30,72.88,1.38,,
668366022,00016M13:54:46.746,0016 13:22:23,120.14,23.87,31.40,-8.69,-0.40,92.36,0.31,72.88,1.37,,
668366022.5,00016M13:54:47.233,0016 13:22:23,120.13,23.88,31.40,-8.70,-0.40,92.36,0.32,72.87,1.37,,
668366023,00016M13:54:47.720,0016 13:22:23,120.13,23.88,31.41,-8.72,-0.40,92.36,0.33,72.87,1.37,,
668366023.5,00016M13:54:48.206,0016 13:22:24,120.13,23.88,31.41,-8.73,-0.40,92.36,0.34,72.86,1.37,,
668366024,00016M13:54:48.693,0016 13:22:24,120.12,23.88,31.41,-8.74,-0.40,92.36,0.34,72.86,1.37,,
668366024.5,00016M13:54:49.179,0016 13:22:25,120.12,23.88,31.42,-8.75,-0.40,92.36,0.35,72.86,1.36,,
668366025,00016M13:54:49.666,0016 13:22:25,120.12,23.88,31.42,-8.77,-0.40,92.36,0.36,72.85,1.36,,
668366025.5,00016M13:54:50.153,0016 13:22:26,120.12,23.89,31.42,-8.78,-0.40,92.36,0.37,72.85,1.36,,
668366026,00016M13:54:50.639,0016 13:22:26,120.11,23.89,31.43,-8.79,-0.40,92.36,0.38,72.84,1.36,,
668366026.5,00016M13:54:51.126,0016 13:22:27,120.11,23.89,31.43,-8.80,-0.40,92.36,0.39,72.84,1.36,,
668366027,00016M13:54:51.613,0016 13:22:27,120.11,23.89,31.44,-8.82,-0.40,92.36,0.40,72.84,1.35,,
668366027.5,00016M13:54:52.099,0016 13:22:28,120.11,23.89,31.44,-8.83,-0.40,92.36,0.40,72.83,1.35,,
668366028,00016M13:54:52.586,0016 13:22:28,120.10,23.89,31.44,-8.84,-0.40,92.36,0.41,72.83,1.35,,
